Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-40371,TE,Johnny,Johnny Mundt,Mundt,0,0,4000,GB@LAR,LAR,GB,,,
29305-47551,TE,Mason,Mason Schreck,Schreck,0,0,4000,TB@CIN,CIN,TB,IR,Knee,
29305-31169,TE,Jeremy,Jeremy Sprinkle,Sprinkle,0,2,4000,WAS@NYG,WAS,NYG,,,
29305-80353,TE,Robert,Robert Tonyan,Tonyan,0,0,4000,GB@LAR,GB,LAR,,,
29305-28144,TE,Dion,Dion Sims,Sims,0.949999988,2,4000,NYJ@CHI,CHI,NYJ,,,
29305-41469,TE,Darrell,Darrell Daniels,Daniels,0,1,4000,SEA@DET,SEA,DET,,,
29305-22051,TE,Orson,Orson Charles,Charles,0.433333317,3,4000,CLE@PIT,CLE,PIT,,,
29305-18009,TE,Chris,Chris Manhertz,Manhertz,0.699999988,1,4000,BAL@CAR,CAR,BAL,,,
29305-33418,TE,Alan,Alan Cross,Cross,0.550000012,2,4000,TB@CIN,TB,CIN,,,
29305-47788,TE,Deon,Deon Yelder,Yelder,0,0,4000,DEN@KC,KC,DEN,,,
29305-28346,TE,Maxx,Maxx Williams,Williams,3.416666667,6,4000,BAL@CAR,BAL,CAR,,,
29305-70335,TE,Seth,Seth DeValve,DeValve,3.099999905,1,4000,CLE@PIT,CLE,PIT,,,
29305-70363,TE,Hakeem,Hakeem Valles,Valles,1.049999952,2,4000,SEA@DET,DET,SEA,,,
29305-29411,TE,Pharaoh,Pharaoh Brown,Brown,0,0,4000,CLE@PIT,CLE,PIT,,,
29305-40697,TE,Bucky,Bucky Hodges,Hodges,0,0,4000,CLE@PIT,PIT,CLE,,,
29305-26384,TE,Trey,Trey Edmunds,Edmunds,3.600000064,3,4000,CLE@PIT,PIT,CLE,,,
